"plot","date","canopy.Le","canopy.L","canopy.LX","canopy.LXG1","canopy.LXG2","endVZA","canopy.DIFN"
"LT43",2024-10-11,1.87,1.87,1,1,1,60,17.523
"LT43",2024-10-15,1.64,1.64,1,1,1,60,21.827
"LT43",2024-10-25,1.21,1.21,1,1,1,60,32.533
"LT43",2024-11-12,1.06,1.06,1,1,1,60,37.292
"LT43",2024-12-02,0.71,0.71,1,1,1,60,51.681
"LT43",2024-12-16,0.56,0.56,1,1,1,60,59.455
"LT44",2024-09-20,2.48,2.48,1,1,1,60,9.932
"LT44",2024-09-30,2.1,2.1,1,1,1,60,14.115
"LT44",2024-10-11,1.95,1.95,1,1,1,60,16.215
"LT44",2024-10-15,1.91,1.91,1,1,1,60,16.933
"LT44",2024-10-25,1.42,1.42,1,1,1,60,26.63
"LT44",2024-11-12,1.25,1.25,1,1,1,60,31.207
"LT44",2024-12-02,0.75,0.75,1,1,1,60,49.988
"LT44",2024-12-16,0.53,0.53,1,1,1,60,60.988
"LT51",2024-09-20,2.82,2.82,1,1,1,60,7.243
"LT51",2024-09-30,2.75,2.75,1,1,1,60,7.745
"LT51",2024-10-11,2.7,2.7,1,1,1,60,8.098
"LT51",2024-10-15,2.52,2.52,1,1,1,60,9.57
"LT51",2024-10-25,2.23,2.23,1,1,1,60,12.568
"LT51",2024-11-12,2,2,1,1,1,60,15.59
"LT51",2024-12-02,0.74,0.74,1,1,1,60,50.371
"LT51",2024-12-16,0.72,0.72,1,1,1,60,51.216
"LT52",2024-09-20,2.15,2.15,1,1,1,60,13.579
"LT52",2024-09-30,2.06,2.06,1,1,1,60,14.671
"LT52",2024-10-11,1.92,1.92,1,1,1,60,16.765
"LT52",2024-10-15,1.62,1.62,1,1,1,60,22.078
"LT52",2024-10-25,1.2,1.2,1,1,1,60,32.862
"LT52",2024-11-12,0.72,0.72,1,1,1,60,51.068
"LT52",2024-12-02,0.37,0.37,1,1,1,60,70.881
"LT52",2024-12-16,0.45,0.45,1,1,1,60,66.053
"LT53",2024-09-20,2.26,2.26,1,1,1,60,12.209
"LT53",2024-09-30,2.16,2.16,1,1,1,60,13.347
"LT53",2024-10-11,1.99,1.99,1,1,1,60,15.758
"LT53",2024-10-15,1.56,1.56,1,1,1,60,23.349
"LT53",2024-10-25,1.26,1.26,1,1,1,60,30.952
"LT53",2024-11-12,0.88,0.88,1,1,1,60,44.003
"LT53",2024-12-02,0.38,0.38,1,1,1,60,70.363
"LT53",2024-12-16,0.45,0.45,1,1,1,60,65.578
"LT54",2024-09-20,3.18,3.18,1,1,1,60,5.179
"LT54",2024-09-30,2.66,2.66,1,1,1,60,8.403
"LT54",2024-10-11,2.73,2.73,1,1,1,60,7.916
"LT54",2024-10-15,2.11,2.11,1,1,1,60,14.003
"LT54",2024-10-25,1.89,1.89,1,1,1,60,17.265
"LT54",2024-11-12,1.69,1.69,1,1,1,60,20.697
"LT54",2024-12-02,0.98,0.98,1,1,1,60,40.033
"LT54",2024-12-16,0.88,0.88,1,1,1,60,43.946
"LT61",2024-09-20,2.28,2.28,1,1,1,60,11.986
"LT61",2024-09-30,3.02,3.02,1,1,1,60,6.039
"LT61",2024-10-11,2.47,2.47,1,1,1,60,9.994
"LT61",2024-10-15,1.93,1.93,1,1,1,60,16.534
"LT61",2024-10-25,1.5,1.5,1,1,1,60,24.795
"LT61",2024-11-12,0.77,0.77,1,1,1,60,48.915
"LT61",2024-12-02,0.74,0.74,1,1,1,60,50.156
"LT61",2024-12-16,0.44,0.44,1,1,1,60,66.688
"LT62",2024-09-20,2.08,2.08,1,1,1,60,14.459
"LT62",2024-09-30,2.54,2.54,1,1,1,60,9.415
"LT62",2024-10-11,2.14,2.14,1,1,1,60,13.684
"LT62",2024-10-15,1.6,1.6,1,1,1,60,22.628
"LT62",2024-10-25,0.95,0.95,1,1,1,60,41.124
"LT62",2024-11-12,0.38,0.38,1,1,1,60,70.27
"LT62",2024-12-02,0.63,0.63,1,1,1,60,55.808
"LT62",2024-12-16,0.41,0.41,1,1,1,60,68.316
"LT63",2024-09-20,2.11,2.11,1,1,1,60,14.02
"LT63",2024-09-30,2.21,2.21,1,1,1,60,12.797
"LT63",2024-10-11,2.27,2.27,1,1,1,60,12.064
"LT63",2024-10-15,1.61,1.61,1,1,1,60,22.435
"LT63",2024-10-25,1.12,1.12,1,1,1,60,35.185
"LT63",2024-11-12,0.71,0.71,1,1,1,60,51.828
"LT63",2024-12-02,0.73,0.73,1,1,1,60,50.931
"LT63",2024-12-16,0.46,0.46,1,1,1,60,65.087
"LT64",2024-09-20,3.34,3.34,1,1,1,60,4.461
"LT64",2024-09-30,2.83,2.83,1,1,1,60,7.157
"LT64",2024-10-11,3.03,3.03,1,1,1,60,5.967
"LT64",2024-10-15,2.53,2.53,1,1,1,60,9.519
"LT64",2024-10-25,2.37,2.37,1,1,1,60,11.07
"LT64",2024-11-12,1.75,1.75,1,1,1,60,19.593
"LT64",2024-12-02,2.18,2.18,1,1,1,60,13.106
"LT64",2024-12-16,1.57,1.57,1,1,1,60,23.242
